severity,issue_type,model,family_name,detail,source_url
medium,low_core_field_coverage,BHS4-00-025-X-IR850,IR-Illumination - BHS4,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/bhs4-ir-beleuchtungsserie.html
medium,low_core_field_coverage,BHS4-00-050-X-IR850,IR-Illumination - BHS4,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/bhs4-ir-beleuchtungsserie.html
medium,low_core_field_coverage,BHS4-00-075-X-IR850,IR-Illumination - BHS4,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/bhs4-ir-beleuchtungsserie.html
medium,low_core_field_coverage,BHS4-00-100-X-IR850,IR-Illumination - BHS4,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/bhs4-ir-beleuchtungsserie.html
medium,low_core_field_coverage,BHS4-00-030-X-IR850,IR-Illumination - BHS4,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/bhs4-ir-beleuchtungsserie.html
medium,low_core_field_coverage,BHS4-00-060-X-IR850,IR-Illumination - BHS4,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/bhs4-ir-beleuchtungsserie.html
medium,low_core_field_coverage,BHS4-00-090-X-IR850,IR-Illumination - BHS4,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/bhs4-ir-beleuchtungsserie.html
medium,low_core_field_coverage,BHS4-00-120-X-IR850,IR-Illumination - BHS4,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/bhs4-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRQ-00-040-3-IR850,IR-Illumination - LBRQ,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrq-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRQ-00-080-3-IR850,IR-Illumination - LBRQ,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrq-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRQ-00-120-3-IR850,IR-Illumination - LBRQ,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrq-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRQ-00-160-3-IR850,IR-Illumination - LBRQ,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrq-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRQ-00-200-3-IR850,IR-Illumination - LBRQ,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrq-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRQ-00-040-6-IR850,IR-Illumination - LBRQ,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrq-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRQ-00-080-6-IR850,IR-Illumination - LBRQ,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrq-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRQ-00-120-6-IR850,IR-Illumination - LBRQ,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrq-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRQ-00-160-6-IR850,IR-Illumination - LBRQ,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrq-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRQ-00-200-6-IR850,IR-Illumination - LBRQ,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrq-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LSW-15-070-3-IR850,IR-Illumination - LSW,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lsw-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LSW-15-070-3-IR940,IR-Illumination - LSW,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lsw-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LLA-60-090-2-IR850,IR-Illumination - LLA,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lla-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LLA-60-090-2-IR940,IR-Illumination - LLA,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lla-ir-beleuchtungsserie.html
medium,low_core_field_coverage,BHLX3-00-160X160-X-IR850,IR-Illumination - BHLX3,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/ir-illumination-bhlx3.html
medium,low_core_field_coverage,BHLX3-00-160X240-X-IR850,IR-Illumination - BHLX3,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/ir-illumination-bhlx3.html
medium,low_core_field_coverage,BHLX3-00-160X320-X-IR850,IR-Illumination - BHLX3,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/ir-illumination-bhlx3.html
medium,low_core_field_coverage,BHLX3-00-160X400-X-IR850,IR-Illumination - BHLX3,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/ir-illumination-bhlx3.html
medium,low_core_field_coverage,BHLX3-00-240X240-X-IR850,IR-Illumination - BHLX3,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/ir-illumination-bhlx3.html
medium,low_core_field_coverage,BHLX3-00-240X320-X-IR850,IR-Illumination - BHLX3,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/ir-illumination-bhlx3.html
medium,low_core_field_coverage,BHLX3-00-240X400-X-IR850,IR-Illumination - BHLX3,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/ir-illumination-bhlx3.html
medium,low_core_field_coverage,BHLX3-00-320X320-X-IR850,IR-Illumination - BHLX3,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/ir-illumination-bhlx3.html
medium,low_core_field_coverage,BHLX3-00-320X400-X-IR850,IR-Illumination - BHLX3,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/ir-illumination-bhlx3.html
medium,low_core_field_coverage,BHLX3-00-400X400-X-IR850,IR-Illumination - BHLX3,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/ir-illumination-bhlx3.html
medium,low_core_field_coverage,IDQ3-00-120-1-RGB,RGB Illumination - IDQ3,"缺少核心字段: 电压, 功率, 电流, 重量",https://www.tms-lite.com/rgb-illumination-idq3.html
medium,low_core_field_coverage,IDQ3-00-190-1-RGB,RGB Illumination - IDQ3,"缺少核心字段: 电压, 功率, 电流, 重量",https://www.tms-lite.com/rgb-illumination-idq3.html
medium,low_core_field_coverage,IDQ3-00-300-1-RGB,RGB Illumination - IDQ3,"缺少核心字段: 电压, 功率, 电流, 重量",https://www.tms-lite.com/rgb-illumination-idq3.html
medium,low_core_field_coverage,IDQ3-00-120-1-X,IDQ3 Series,"缺少核心字段: 电压, 功率, 电流, 重量",https://www.tms-lite.com/idq-serie.html
medium,low_core_field_coverage,IDQ3-00-190-1-X,IDQ3 Series,"缺少核心字段: 电压, 功率, 电流, 重量",https://www.tms-lite.com/idq-serie.html
medium,low_core_field_coverage,IDQ3-00-300-1-X,IDQ3 Series,"缺少核心字段: 电压, 功率, 电流, 重量",https://www.tms-lite.com/idq-serie.html
medium,low_core_field_coverage,IDQ3-00-120-1-RGB,IDQ3 Series,"缺少核心字段: 电压, 功率, 电流, 重量",https://www.tms-lite.com/idq-serie.html
medium,low_core_field_coverage,IDQ3-00-190-1-RGB,IDQ3 Series,"缺少核心字段: 电压, 功率, 电流, 重量",https://www.tms-lite.com/idq-serie.html
medium,low_core_field_coverage,IDQ3-00-300-1-RGB,IDQ3 Series,"缺少核心字段: 电压, 功率, 电流, 重量",https://www.tms-lite.com/idq-serie.html
medium,low_core_field_coverage,LLA-90-118-1-X,LLA-90 Series,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lla-90-serie.html
medium,low_core_field_coverage,LSW-00-157-7-X-24V,LSW Series,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lsw-series.html
medium,low_core_field_coverage,LSW-45-120-3-X-24V,LSW Series,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lsw-series.html
medium,low_core_field_coverage,LSW-45-170-5-X-24V,LSW Series,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lsw-series.html
medium,low_core_field_coverage,R,"LSQ-00, 15, 30, 45 LSQ Stackable Series","缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lsq-series-stackable.html
medium,low_core_field_coverage,LBMQ-00-040-1-X,LBMQ Series,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbmq-serie.html
medium,low_core_field_coverage,LBMQ-00-040-2-X,LBMQ Series,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbmq-serie.html
medium,low_core_field_coverage,LBMQ-00-040-3-X,LBMQ Series,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbmq-serie.html
medium,low_core_field_coverage,LBM-00-040-1-X,LBM Series,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbm-serie.html
medium,low_core_field_coverage,LBM-00-080-1-X,LBM Series,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbm-serie.html
medium,low_core_field_coverage,LBM-00-040-2-X,LBM Series,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbm-serie.html
